49,"metatensor(0.9804, device='cuda:2')","metatensor(0.9864, device='cuda:2')","metatensor(0.9744, device='cuda:2')"
49,"metatensor(0.9846, device='cuda:4')","metatensor(0.9921, device='cuda:4')","metatensor(0.9770, device='cuda:4')"
49,"metatensor(0.9803, device='cuda:0')","metatensor(0.9921, device='cuda:0')","metatensor(0.9685, device='cuda:0')"
49,"metatensor(0.9828, device='cuda:3')","metatensor(0.9857, device='cuda:3')","metatensor(0.9799, device='cuda:3')"
49,"metatensor(0.9822, device='cuda:1')","metatensor(0.9901, device='cuda:1')","metatensor(0.9743, device='cuda:1')"
50,"metatensor(0.9838, device='cuda:1')","metatensor(0.9924, device='cuda:1')","metatensor(0.9751, device='cuda:1')"
50,"metatensor(0.9858, device='cuda:3')","metatensor(0.9924, device='cuda:3')","metatensor(0.9792, device='cuda:3')"
50,"metatensor(0.9860, device='cuda:4')","metatensor(0.9929, device='cuda:4')","metatensor(0.9791, device='cuda:4')"
50,"metatensor(0.9851, device='cuda:0')","metatensor(0.9927, device='cuda:0')","metatensor(0.9775, device='cuda:0')"
50,"metatensor(0.9822, device='cuda:2')","metatensor(0.9926, device='cuda:2')","metatensor(0.9717, device='cuda:2')"
51,"metatensor(0.9824, device='cuda:1')","metatensor(0.9901, device='cuda:1')","metatensor(0.9748, device='cuda:1')"
51,"metatensor(0.9854, device='cuda:4')","metatensor(0.9921, device='cuda:4')","metatensor(0.9787, device='cuda:4')"
51,"metatensor(0.9759, device='cuda:0')","metatensor(0.9835, device='cuda:0')","metatensor(0.9683, device='cuda:0')"
51,"metatensor(0.9814, device='cuda:2')","metatensor(0.9903, device='cuda:2')","metatensor(0.9724, device='cuda:2')"
51,"metatensor(0.9861, device='cuda:3')","metatensor(0.9926, device='cuda:3')","metatensor(0.9796, device='cuda:3')"
52,"metatensor(0.9854, device='cuda:4')","metatensor(0.9917, device='cuda:4')","metatensor(0.9792, device='cuda:4')"
52,"metatensor(0.9838, device='cuda:2')","metatensor(0.9929, device='cuda:2')","metatensor(0.9747, device='cuda:2')"
52,"metatensor(0.9819, device='cuda:1')","metatensor(0.9910, device='cuda:1')","metatensor(0.9728, device='cuda:1')"
52,"metatensor(0.9832, device='cuda:0')","metatensor(0.9900, device='cuda:0')","metatensor(0.9764, device='cuda:0')"
52,"metatensor(0.9865, device='cuda:3')","metatensor(0.9917, device='cuda:3')","metatensor(0.9812, device='cuda:3')"
53,"metatensor(0.9814, device='cuda:1')","metatensor(0.9888, device='cuda:1')","metatensor(0.9739, device='cuda:1')"
53,"metatensor(0.9836, device='cuda:2')","metatensor(0.9931, device='cuda:2')","metatensor(0.9740, device='cuda:2')"
53,"metatensor(0.9843, device='cuda:4')","metatensor(0.9920, device='cuda:4')","metatensor(0.9766, device='cuda:4')"
53,"metatensor(0.9860, device='cuda:3')","metatensor(0.9929, device='cuda:3')","metatensor(0.9791, device='cuda:3')"
53,"metatensor(0.9820, device='cuda:0')","metatensor(0.9895, device='cuda:0')","metatensor(0.9745, device='cuda:0')"
54,"metatensor(0.9864, device='cuda:3')","metatensor(0.9930, device='cuda:3')","metatensor(0.9798, device='cuda:3')"
54,"metatensor(0.9839, device='cuda:0')","metatensor(0.9885, device='cuda:0')","metatensor(0.9792, device='cuda:0')"
54,"metatensor(0.9845, device='cuda:1')","metatensor(0.9899, device='cuda:1')","metatensor(0.9791, device='cuda:1')"
54,"metatensor(0.9832, device='cuda:4')","metatensor(0.9895, device='cuda:4')","metatensor(0.9769, device='cuda:4')"
54,"metatensor(0.9839, device='cuda:2')","metatensor(0.9918, device='cuda:2')","metatensor(0.9761, device='cuda:2')"
55,"metatensor(0.9442, device='cuda:0')","metatensor(0.9202, device='cuda:0')","metatensor(0.9682, device='cuda:0')"
55,"metatensor(0.9448, device='cuda:2')","metatensor(0.9184, device='cuda:2')","metatensor(0.9711, device='cuda:2')"
55,"metatensor(0.9442, device='cuda:4')","metatensor(0.9099, device='cuda:4')","metatensor(0.9785, device='cuda:4')"
55,"metatensor(0.9436, device='cuda:3')","metatensor(0.9092, device='cuda:3')","metatensor(0.9780, device='cuda:3')"
55,"metatensor(0.9353, device='cuda:1')","metatensor(0.8997, device='cuda:1')","metatensor(0.9709, device='cuda:1')"
56,"metatensor(0.9857, device='cuda:3')","metatensor(0.9921, device='cuda:3')","metatensor(0.9792, device='cuda:3')"
56,"metatensor(0.9828, device='cuda:2')","metatensor(0.9916, device='cuda:2')","metatensor(0.9739, device='cuda:2')"
56,"metatensor(0.9781, device='cuda:0')","metatensor(0.9860, device='cuda:0')","metatensor(0.9702, device='cuda:0')"
56,"metatensor(0.9821, device='cuda:4')","metatensor(0.9848, device='cuda:4')","metatensor(0.9795, device='cuda:4')"
56,"metatensor(0.9838, device='cuda:1')","metatensor(0.9919, device='cuda:1')","metatensor(0.9757, device='cuda:1')"
57,"metatensor(0.9861, device='cuda:3')","metatensor(0.9933, device='cuda:3')","metatensor(0.9789, device='cuda:3')"
57,"metatensor(0.9834, device='cuda:4')","metatensor(0.9923, device='cuda:4')","metatensor(0.9745, device='cuda:4')"
57,"metatensor(0.9821, device='cuda:0')","metatensor(0.9920, device='cuda:0')","metatensor(0.9721, device='cuda:0')"
57,"metatensor(0.9830, device='cuda:2')","metatensor(0.9926, device='cuda:2')","metatensor(0.9735, device='cuda:2')"
57,"metatensor(0.9802, device='cuda:1')","metatensor(0.9893, device='cuda:1')","metatensor(0.9711, device='cuda:1')"
58,"metatensor(0.9857, device='cuda:2')","metatensor(0.9931, device='cuda:2')","metatensor(0.9783, device='cuda:2')"
58,"metatensor(0.9864, device='cuda:3')","metatensor(0.9920, device='cuda:3')","metatensor(0.9809, device='cuda:3')"
58,"metatensor(0.9831, device='cuda:1')","metatensor(0.9896, device='cuda:1')","metatensor(0.9765, device='cuda:1')"
58,"metatensor(0.9859, device='cuda:4')","metatensor(0.9935, device='cuda:4')","metatensor(0.9784, device='cuda:4')"
58,"metatensor(0.9866, device='cuda:0')","metatensor(0.9937, device='cuda:0')","metatensor(0.9795, device='cuda:0')"
59,"metatensor(0.9812, device='cuda:0')","metatensor(0.9893, device='cuda:0')","metatensor(0.9731, device='cuda:0')"
59,"metatensor(0.9842, device='cuda:2')","metatensor(0.9922, device='cuda:2')","metatensor(0.9762, device='cuda:2')"
59,"metatensor(0.9871, device='cuda:3')","metatensor(0.9928, device='cuda:3')","metatensor(0.9814, device='cuda:3')"
59,"metatensor(0.9853, device='cuda:4')","metatensor(0.9915, device='cuda:4')","metatensor(0.9791, device='cuda:4')"
59,"metatensor(0.9807, device='cuda:1')","metatensor(0.9895, device='cuda:1')","metatensor(0.9719, device='cuda:1')"
60,"metatensor(0.9813, device='cuda:1')","metatensor(0.9903, device='cuda:1')","metatensor(0.9723, device='cuda:1')"
60,"metatensor(0.9824, device='cuda:2')","metatensor(0.9911, device='cuda:2')","metatensor(0.9736, device='cuda:2')"
